town,population
Adams,1
Addison,2
Afton,3
Alabama,4
Albany,5
Albion,6
Albion,7
Alden,8
Alexander,9
Alexandria,10
Alfred,11
Allegany,12
Allen,13
Alma,14
Almond,15
Altona,16
Amboy,17
Amenia,18
Amherst,19
Amity,20
Amsterdam,21
Amsterdam,22
Ancram,23
Andes,24
Andover,25
Angelica,26
Annsville,27
Antwerp,28
Arcade,29
Arcadia,30
Argyle,31
Arietta,32
Arkwright,33
Ashford,34
Ashland,35
Ashland,36
Athens,37
Attica,38
Auburn,39
Augusta,40
Aurelius,41
Aurora,42
Ausable,43
Austerlitz,44
Ava,45
Avoca,46
Avon,47
Babylon,48
Bainbridge,49
Baldwin,50
Ballston,51
Bangor,52
Barker,53
Barre,54
Barrington,55
Barton,56
Batavia,57
Batavia,58
Bath,59
Beacon,60
Bedford,61
Beekman,62
Beekmantown,63
Belfast,64
Bellmont,65
Bennington,66
Benson,67
Benton,68
Bergen,69
Berkshire,70
Berlin,71
Berne,72
Bethany,73
Bethel,74
Bethlehem,75
Big Flats,76
Binghamton,77
Binghamton,78
Birdsall,79
Black Brook,80
Bleecker,81
Blenheim,82
Blooming Grove,83
Bolivar,84
Bolton,85
Bombay,86
Boonville,87
Boston,88
Bovina,89
Boylston,90
Bradford,91
Brandon,92
Brant,93
Brasher,94
Bridgewater,95
Brighton,96
Brighton,97
Bristol,98
Broadalbin,99
Brookfield,100
Brookhaven,101
Broome,102
Brownville,103
Brunswick,104
Brutus,105
Buffalo,106
Burke,107
Burlington,108
Burns,109
Busti,110
Butler,111
Butternuts,112
Byron,113
Cairo,114
Caledonia,115
Callicoon,116
Cambria,117
Cambridge,118
Camden,119
Cameron,120
Camillus,121
Campbell,122
Canaan,123
Canadice,124
Canajoharie,125
Canandaigua,126
Canandaigua,127
Candor,128
Caneadea,129
Canisteo,130
Canton,131
Cape Vincent,132
Carlisle,133
Carlton,134
Carmel,135
Caroga,136
Caroline,137
Carroll,138
Carrollton,139
Castile,140
Catharine,141
Catlin,142
Cato,143
Caton,144
Catskill,145
Cayuta,146
Cazenovia,147
Centerville,148
Champion,149
Champlain,150
Charleston,151
Charlotte,152
Charlton,153
Chateaugay,154
Chatham,155
Chautauqua,156
Chazy,157
Cheektowaga,158
Chemung,159
Chenango,160
Cherry Creek,161
Cherry Valley,162
Chester,163
Chester,164
Chesterfield,165
Chili,166
Cicero,167
Cincinnatus,168
Clare,169
Clarence,170
Clarendon,171
Clarkson,172
Clarkstown,173
Clarksville,174
Claverack,175
Clay,176
Clayton,177
Clermont,178
Clifton,179
Clifton Park,180
Clinton,181
Clinton,182
Clymer,183
Cobleskill,184
Cochecton,185
Coeymans,186
Cohocton,187
Cohoes,188
Colchester,189
Cold Spring,190
Colden,191
Colesville,192
Collins,193
Colonie,194
Colton,195
Columbia,196
Columbus,197
Concord,198
Conesus,199
Conesville,200
Conewango,201
Conklin,202
Conquest,203
Constable,204
Constantia,205
Copake,206
Corinth,207
Corning,208
Corning,209
Cornwall,210
Cortland,211
Cortlandt,212
Cortlandville,213
Coventry,214
Covert,215
Covington,216
Coxsackie,217
Crawford,218
Croghan,219
Crown Point,220
Cuba,221
Cuyler,222
Danby,223
Dannemora,224
Dansville,225
Danube,226
Darien,227
Davenport,228
Day,229
Dayton,230
De Kalb,231
De Peyster,232
De Witt,233
Decatur,234
Deerfield,235
Deerpark,236
Delaware,237
Delhi,238
Denmark,239
Denning,240
Deposit,241
DeRuyter,242
Diana,243
Dickinson,244
Dickinson,245
Dix,246
Dover,247
Dresden,248
Dryden,249
Duane,250
Duanesburg,251
Dunkirk,252
Dunkirk,253
Durham,254
Eagle,255
East Bloomfield,256
East Fishkill,257
East Greenbush,258
East Hampton,259
East Otto,260
East Rochester,261
Eastchester,262
Easton,263
Eaton,264
Eden,265
Edinburg,266
Edmeston,267
Edwards,268
Elba,269
Elbridge,270
Elizabethtown,271
Ellenburg,272
Ellery,273
Ellicott,274
Ellicottville,275
Ellington,276
Ellisburg,277
Elma,278
Elmira,279
Elmira,280
Enfield,281
Ephratah,282
Erin,283
Erwin,284
Esopus,285
Esperance,286
Essex,287
Evans,288
Exeter,289
Fabius,290
Fairfield,291
Fallsburg,292
Farmersville,293
Farmington,294
Fayette,295
Fenner,296
Fenton,297
Fine,298
Fishkill,299
Fleming,300
Florence,301
Florida,302
Floyd,303
Forestburgh,304
Forestport,305
Fort Ann,306
Fort Covington,307
Fort Edward,308
Fowler,309
Frankfort,310
Franklin,311
Franklin,312
Franklinville,313
Freedom,314
Freetown,315
Fremont,316
Fremont,317
French Creek,318
Friendship,319
Fulton,320
Fulton,321
Gaines,322
Gainesville,323
Galen,324
Gallatin,325
Galway,326
Gardiner,327
Gates,328
Geddes,329
Genesee,330
Genesee Falls,331
Geneseo,332
Geneva,333
Geneva,334
Genoa,335
Georgetown,336
German,337
German Flatts,338
Germantown,339
Gerry,340
Ghent,341
Gilboa,342
Glen,343
Glen Cove,344
Glens Falls,345
Glenville,346
Gloversville,347
Gorham,348
Goshen,349
Gouverneur,350
Grafton,351
Granby,352
Grand Island,353
Granger,354
Granville,355
Great Valley,356
Greece,357
Green Island,358
Greenburgh,359
Greene,360
Greenfield,361
Greenport,362
Greenville,363
Greenville,364
Greenwich,365
Greenwood,366
Greig,367
Groton,368
Grove,369
Groveland,370
Guilderland,371
Guilford,372
Hadley,373
Hague,374
Halcott,375
Halfmoon,376
Hamburg,377
Hamden,378
Hamilton,379
Hamlin,380
Hammond,381
Hampton,382
Hamptonburgh,383
Hancock,384
Hannibal,385
Hanover,386
Hardenburgh,387
Harford,388
Harmony,389
Harpersfield,390
Harrietstown,391
Harrisburg,392
Harrison,393
Hartford,394
Hartland,395
Hartsville,396
Hartwick,397
Hastings,398
Haverstraw,399
Hebron,400
Hector,401
Hempstead,402
Henderson,403
Henrietta,404
Herkimer,405
Hermon,406
Highland,407
Highlands,408
Hillsdale,409
Hinsdale,410
Holland,411
Homer,412
Hoosick,413
Hope,414
Hopewell,415
Hopkinton,416
Horicon,417
Hornby,418
Hornell,419
Hornellsville,420
Horseheads,421
Hounsfield,422
Howard,423
Hudson,424
Hume,425
Humphrey,426
Hunter,427
Huntington,428
Hurley,429
Huron,430
Hyde Park,431
Independence,432
Indian Lake,433
Inlet,434
Ira,435
Irondequoit,436
Ischua,437
Islip,438
Italy,439
Ithaca,440
Ithaca,441
Jackson,442
Jamestown,443
Jasper,444
Java,445
Jay,446
Jefferson,447
Jerusalem,448
Jewett,449
Johnsburg,450
Johnstown,451
Johnstown,452
Junius,453
Keene,454
Kendall,455
Kent,456
Kiantone,457
Kinderhook,458
Kingsbury,459
Kingston,460
Kingston,461
Kirkland,462
Kirkwood,463
Knox,464
Kortright,465
La Fayette,466
La Grange,467
Lackawanna,468
Lake George,469
Lake Luzerne,470
Lake Pleasant,471
Lancaster,472
Lansing,473
Lapeer,474
Laurens,475
Lawrence,476
Le Ray,477
Le Roy,478
Lebanon,479
Ledyard,480
Lee,481
Leicester,482
Lenox,483
Leon,484
Lewis,485
Lewis,486
Lewisboro,487
Lewiston,488
Lexington,489
Leyden,490
Liberty,491
Lima,492
Lincklaen,493
Lincoln,494
Lindley,495
Lisbon,496
Lisle,497
Litchfield,498
Little Falls,499
Little Falls,500
Little Valley,501
Livingston,502
Livonia,503
Lloyd,504
Locke,505
Lockport,506
Lockport,507
Lodi,508
Long Beach,509
Long Lake,510
Lorraine,511
Louisville,512
Lowville,513
Lumberland,514
Lyme,515
Lyndon,516
Lyons,517
Lyonsdale,518
Lysander,519
Macedon,520
Machias,521
Macomb,522
Madison,523
Madrid,524
Maine,525
Malone,526
Malta,527
Mamakating,528
Mamaroneck,529
Manchester,530
Manheim,531
Manlius,532
Mansfield,533
Marathon,534
Marbletown,535
Marcellus,536
Marcy,537
Marilla,538
Marion,539
Marlborough,540
Marshall,541
Martinsburg,542
Maryland,543
Masonville,544
Massena,545
Mayfield,546
McDonough,547
Mechanicville,548
Mendon,549
Mentz,550
Meredith,551
Mexico,552
Middleburgh,553
Middlebury,554
Middlefield,555
Middlesex,556
Middletown,557
Middletown,558
Milan,559
Milford,560
Milo,561
Milton,562
Mina,563
Minden,564
Minerva,565
Minetto,566
Minisink,567
Mohawk,568
Moira,569
Monroe,570
Montague,571
Montezuma,572
Montgomery,573
Montour,574
Mooers,575
Moravia,576
Moreau,577
Morehouse,578
Moriah,579
Morris,580
Morristown,581
Mount Hope,582
Mount Kisco,583
Mount Morris,584
Mount Pleasant,585
Mount Vernon,586
Murray,587
Nanticoke,588
Naples,589
Napoli,590
Nassau,591
Nelson,592
Neversink,593
New Albion,594
New Baltimore,595
New Berlin,596
New Bremen,597
New Castle,598
New Hartford,599
New Haven,600
New Hudson,601
New Lebanon,602
New Lisbon,603
New Paltz,604
New Rochelle,605
New Scotland,606
New Windsor,607
New York,608
Newark Valley,609
Newburgh,610
Newburgh,611
Newcomb,612
Newfane,613
Newfield,614
Newport,615
Newstead,616
Niagara,617
Niagara Falls,618
Nichols,619
Niles,620
Niskayuna,621
Norfolk,622
North Castle,623
North Collins,624
North Dansville,625
North Elba,626
North Greenbush,627
North Harmony,628
North Hempstead,629
North Hudson,630
North Norwich,631
North Salem,632
North Tonawanda,633
Northampton,634
Northeast,635
Northumberland,636
Norway,637
Norwich,638
Norwich,639
Nunda,640
Oakfield,641
Ogden,642
Ogdensburg,643
Ohio,644
Olean,645
Olean,646
Olive,647
Oneida,648
Oneonta,649
Oneonta,650
Onondaga,651
Ontario,652
Oppenheim,653
Orange,654
Orangetown,655
Orangeville,656
Orchard Park,657
Orleans,658
Orwell,659
Osceola,660
Ossian,661
Ossining,662
Oswegatchie,663
Oswego,664
Oswego,665
Otego,666
Otisco,667
Otsego,668
Otselic,669
Otto,670
Ovid,671
Owasco,672
Owego,673
Oxford,674
Oyster Bay,675
Palatine,676
Palermo,677
Palmyra,678
Pamelia,679
Paris,680
Parish,681
Parishville,682
Parma,683
Patterson,684
Pavilion,685
Pawling,686
Peekskill,687
Pelham,688
Pembroke,689
Pendleton,690
Penfield,691
Perinton,692
Perry,693
Perrysburg,694
Persia,695
Perth,696
Peru,697
Petersburgh,698
Pharsalia,699
Phelps,700
Philadelphia,701
Philipstown,702
Piercefield,703
Pierrepont,704
Pike,705
Pinckney,706
Pine Plains,707
Pitcairn,708
Pitcher,709
Pittsfield,710
Pittsford,711
Pittstown,712
Plainfield,713
Plattekill,714
Plattsburgh,715
Plattsburgh,716
Pleasant Valley,717
Plymouth,718
Poestenkill,719
Poland,720
Pomfret,721
Pompey,722
Port Jervis,723
Portage,724
Porter,725
Portland,726
Portville,727
Potsdam,728
Potter,729
Poughkeepsie,730
Poughkeepsie,731
Pound Ridge,732
Prattsburg,733
Prattsville,734
Preble,735
Preston,736
Princetown,737
Providence,738
Pulteney,739
Putnam,740
Putnam Valley,741
Queensbury,742
Ramapo,743
Randolph,744
Rathbone,745
Reading,746
Red Hook,747
Red House,748
Redfield,749
Remsen,750
Rensselaer,751
Rensselaerville,752
Rhinebeck,753
Richfield,754
Richford,755
Richland,756
Richmond,757
Richmondville,758
Ridgeway,759
Riga,760
Ripley,761
Riverhead,762
Rochester,763
Rochester,764
Rockland,765
Rodman,766
Rome,767
Romulus,768
Root,769
Rose,770
Roseboom,771
Rosendale,772
Rossie,773
Rotterdam,774
Roxbury,775
Royalton,776
Rush,777
Rushford,778
Russell,779
Russia,780
Rutland,781
Rye,782
Rye,783
Salamanca,784
Salamanca,785
Salem,786
Salina,787
Salisbury,788
Sand Lake,789
Sandy Creek,790
Sanford,791
Sangerfield,792
Santa Clara,793
Saranac,794
Saratoga,795
Saratoga Springs,796
Sardinia,797
Saugerties,798
Savannah,799
Scarsdale,800
Schaghticoke,801
Schenectady,802
Schodack,803
Schoharie,804
Schroeppel,805
Schroon,806
Schuyler,807
Schuyler Falls,808
Scio,809
Scipio,810
Scott,811
Scriba,812
Sempronius,813
Seneca,814
Seneca Falls,815
Sennett,816
Seward,817
Shandaken,818
Sharon,819
Shawangunk,820
Shelby,821
Sheldon,822
Shelter Island,823
Sherburne,824
Sheridan,825
Sherman,826
Sherrill,827
Sidney,828
Skaneateles,829
Smithfield,830
Smithtown,831
Smithville,832
Smyrna,833
Sodus,834
Solon,835
Somers,836
Somerset,837
South Bristol,838
South Valley,839
Southampton,840
Southeast,841
Southold,842
Southport,843
Spafford,844
Sparta,845
Spencer,846
Springfield,847
Springport,848
Springwater,849
St Armand,850
St Johnsville,851
Stafford,852
Stamford,853
Stanford,854
Stark,855
Starkey,856
Stephentown,857
Sterling,858
Steuben,859
